MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
200000000,2024-05-31T10:00:00,30.86564,36.22375,10.9,271.9,271,MV SYNTH-000,IMO9256787,FTRX,70,0,253,31,14.9,Cargo,A
200000001,2024-05-31T10:00:00,30.55467,35.65051,18.8,337.5,337,MV SYNTH-001,IMO9485000,JSCP,60,0,99,13,15.2,Passenger,A
200000002,2024-05-31T10:00:00,31.62095,32.4304,13.4,63.9,63,MV SYNTH-002,IMO9122322,EFAD,80,0,194,27,14.4,Tanker,A
200000003,2024-05-31T10:00:00,30.809,31.35072,10.1,13.7,13,MV SYNTH-003,IMO9317919,IBAH,52,0,159,22,9.1,Tug,A
200000004,2024-05-31T10:00:00,33.16285,30.5133,7.2,117.7,117,MV SYNTH-004,IMO9615411,WFNP,30,0,317,39,6.5,Fishing,A
200000005,2024-05-31T10:00:00,31.38787,31.88423,5.0,84.8,84,MV SYNTH-005,IMO9598517,INKB,30,0,180,22,12.6,Fishing,A
200000006,2024-05-31T10:00:00,32.01022,34.07989,6.4,202.2,202,MV SYNTH-006,IMO9560766,HYFT,30,0,230,31,12.7,Fishing,A
200000007,2024-05-31T10:00:00,33.02585,32.70852,15.4,27.8,27,MV SYNTH-007,IMO9339209,TNBB,70,0,107,14,17.2,Cargo,A
200000008,2024-05-31T10:00:00,32.39877,33.0702,14.1,108.1,108,MV SYNTH-008,IMO9934085,GMZC,70,0,217,33,10.4,Cargo,A
200000009,2024-05-31T10:00:00,34.36933,36.66672,5.0,230.1,230,MV SYNTH-009,IMO9258033,VGOY,30,0,152,23,12.6,Fishing,A
200000010,2024-05-31T10:00:00,34.46349,36.11795,16.0,236.9,236,MV SYNTH-010,IMO9507365,WJAD,70,0,158,19,14.7,Cargo,A
200000011,2024-05-31T10:00:00,32.30393,36.11342,15.9,16.2,16,MV SYNTH-011,IMO9526451,SYNT,60,0,247,38,8.6,Passenger,A
200000012,2024-05-31T10:00:00,31.55814,33.15146,11.9,336.4,336,MV SYNTH-012,IMO9312397,MYJL,80,0,323,51,11.3,Tanker,A
200000013,2024-05-31T10:00:00,31.90165,30.23191,10.0,39.5,39,MV SYNTH-013,IMO9775286,HCEC,80,0,113,18,8.4,Tanker,A
200000014,2024-05-31T10:00:00,32.23201,32.469,6.3,300.9,300,MV SYNTH-014,IMO9548698,HOYS,52,0,307,44,11.7,Tug,A
200000015,2024-05-31T10:00:00,34.37697,31.7726,12.4,94.0,94,MV SYNTH-015,IMO9235778,NZHZ,70,0,100,13,13.3,Cargo,A
200000016,2024-05-31T10:00:00,31.3959,33.4306,15.4,92.7,92,MV SYNTH-016,IMO9992461,FFKY,60,0,238,30,14.9,Passenger,A
200000017,2024-05-31T10:00:00,31.306,33.42331,10.2,59.6,59,MV SYNTH-017,IMO9481833,AWSR,52,0,147,18,13.8,Tug,A
200000018,2024-05-31T10:00:00,30.74704,33.67646,21.1,281.5,281,MV SYNTH-018,IMO9240806,VMIX,60,0,168,22,7.8,Passenger,A
200000019,2024-05-31T10:00:00,34.39589,33.67181,18.4,162.2,162,MV SYNTH-019,IMO9951095,IISM,60,0,216,27,8.6,Passenger,A
200000020,2024-05-31T10:00:00,32.42284,30.51899,5.9,102.7,102,MV SYNTH-020,IMO9854356,GMXJ,30,0,327,47,6.8,Fishing,A
200000021,2024-05-31T10:00:00,33.24328,36.89007,10.9,258.7,258,MV SYNTH-021,IMO9265217,MCTB,80,0,203,28,17.2,Tanker,A
200000022,2024-05-31T10:00:00,33.0575,31.92904,16.0,50.7,50,MV SYNTH-022,IMO9562201,XAZS,70,0,211,26,13.4,Cargo,A
200000023,2024-05-31T10:00:00,31.61721,34.44753,11.5,327.2,327,MV SYNTH-023,IMO9230631,LNOI,70,0,196,26,12.2,Cargo,A
200000024,2024-05-31T10:00:00,34.26274,32.17826,13.3,126.4,126,MV SYNTH-024,IMO9825180,LGWO,80,0,108,14,17.1,Tanker,A
